story,grade
"초고속 네트워크 사회의 점점 더 지능화되고 잔혹해지는 범죄에 맞서기 위해 정부는 쿠스나기 대위가 이끄는 비공식 사이보그 부대를 구성하여 공안 9과의 ""공각기동대""를 탄생시킵니다. 어느 날, 각 국가의 정보망에서 ""공각기동대""에 주식 조작, 정보 조작, 정치 조작, 테러 혐의로 국제적으로 수배 중인 ""인형 조종사""라는 인물이 일본에 나타났다는 경고가 전송됩니다. 쿠스나기는 신원 불명의 해커 ""인형 조종사""를 제거하기 위한 임무에 착수합니다.",12세이상관람가
"40대 유명 작가 이준섭은 5년 넘게 치매를 앓았던 시어머니가 세상을 떠났다는 소식을 듣고 고향을 찾는다. 87세 할머니의 죽음은 많은 사람에게 다양한 감정을 불러일으키는데, 특히 치매에 걸린 시어머니를 간병하던 올케는 안도감과 슬픔을 동시에 느낀다. 한편, 준섭의 문학 세계를 새롭게 조명하는 기사를 쓰기 위해 장례식을 찾은 장혜림 기자는 관찰자로서 장례식의 여러 모습을 취재하느라 바쁘다. 가족 간의 깊은 균열은 장례식이 진행되면서 점차 아물고, 할머니를 돌보지 않는 삼촌 준섭을 원망하던 용선은 준섭이 쓴 동화를 읽고 눈물을 흘린다.",12세이상관람가
"오마이갓!그들이 바뀌었어!바닥에 뒹굴던 사고뭉치 강대호와 늘 경계하는 모범생 고은비.비오는 날, 정체불명의 벼락에 맞아 의식을 잃은 두 사람은 몸이 바뀌는 끔찍한 일을 겪는다.아직도 이 사실을 모르는 두 사람은 각자의 집에서 쫓겨나 몸이 바뀐 채로 서로의 집에서 살게 된다.두 사람의 달라진 행동은 주변 사람들을 놀라게 한다.중간고사에서 대호는 갑자기 전교 5등을 차지하게 되고, 선생님들은 그를 의심해 재시험을 보게 되고, 은비의 성적은 계속 떨어진다.은비의 부모는 은비의 변화를 걱정하며 이민을 준비한다.재시험 결과 대호는 혐의에서 벗어나지만, 학생회장은 어린이 축제를 취소한다고 발표한다. 한편, 은비는 몰래 이민을 준비하고 있다는 사실을 알게 되고 학생회장에게 알리지 않고 록 콘서트를 준비한다. 축제 분위기가 무르익으면서 과거의 오해와 갈등이 해소되고 화해의 시간이 조성되지만, 그때처럼 이례적인 번개가 치고 폭우가 쏟아진다.",12세이상관람가
수녀들은 수도복을 벗고 유명한 가수가 된 델로레스에게 필사적으로 도움을 요청합니다. 델로레스는 다시 수도복을 입고 말썽꾸러기들로 가득한 모교에서 아이들을 가르칩니다. 델로레스는 아이들이 교사의 권위와 수업 시간의 신성함을 무시하는 것에 대해 걱정합니다. 그러나 혁신적인 음악 수업을 통해 아이들은 점차 인정을 받고 재능을 키우면서 변화하기 시작합니다.,12세이상관람가
"헨리 빅스는 가난한 동네 교회의 목사이고, 그의 아내 줄리아는 합창단 지휘자입니다. 줄리아는 파티와 노래를 좋아하는 쾌활한 사람이지만, 그녀의 남편은 너무 바빠서 결혼한 이후로 파티에 참석할 기회가 없었습니다. 어느 날, 천사인 더들리가 줄리아와 그녀의 가족 앞에 나타납니다. 그들은 이 결혼 생활에서 소외감을 느낍니다. 줄리아는 남편과 달리 친절하고 온화한 더들리에게 점차 관심을 갖기 시작합니다.",12세이상관람가
"보고 싶다! 50대 중반의 평범한 아빠 한정수는 친구인 남의사 병원을 찾다가 췌장암 진단을 받고 5개월 시한을 선고받는다. 지방 대학을 졸업하고 사법고시에 늦게 합격한 그는 인맥도 없고 고지식한 사람으로, 높은 직책을 맡아본 적도 없고 평생 낮은 직책에서 일하며 살아왔다. 부유하고 학식이 풍부하고 세련된 아내 영신과의 평행선은 계속되고, 딸 지원은 일에 파묻혀 가족을 소홀히 하는 아버지에게 원망만 커진다. 병을 가족에게 알리지 않고 홀로 죽음을 준비하려는 정수는 점차 술에 중독되어 고통을 견디고, 자신의 사정을 모르는 가족과 더욱 두꺼운 벽을 쌓는다. 반겨줄 사람 하나 없는 외로운 상황에서 정수는 한식당의 아가씨 소령을 만나 잠깐의 위안을 얻는다. 결국 정수의 병은 남의사를 통해 가족에게 밝혀지고, 가족들의 눈물과 화해 속에서 정수는 자신의 죽음을 준비한다.",12세이상관람가
"1952년, 영국. 옥스퍼드 대학 영문학과의 독신 교수인 잭 루이스는 총명하고 합리적인 사람입니다. 그의 관심사는 지적인 토론뿐이며 사회적 측면에는 관심이 없습니다. 그러다가 그는 미국의 시인이자 작가인 조이 그레셤을 만나 그녀에게 감정을 품지만 주저합니다. 조이가 방탕한 남편과 이혼하기 위해 미국으로 돌아오자 루이스는 그녀를 그리워합니다. 몇 달 후, 조이는 미국에서 이혼하고 런던에 정착합니다. 하지만 그녀의 가슴에 묻힌 감정은 쉽게 표현되지 않고 그녀는 조이의 8살 아들 더글러스와 가까워집니다. 잭은 그녀의 공소시효가 만료되기 전에 그녀와 계약 결혼을 하고 잭의 감정은 바뀌지만 그녀는 이미 뼈암 진단을 받고 사형을 선고받습니다. 그녀가 죽기 전에 진정한 사랑을 깨달은 잭은 조이와 공식적으로 결혼합니다...",12세이상관람가
"북극에서는 순록의 수가 급격히 감소하고 있습니다. 정부는 그 원인이 늑대라고 생각하고 타일러 박사를 북극으로 보내 늑대를 근절하는 방법을 연구하게 합니다. 연구 장비를 가지고 누트색에 도착한 타일러 박사는 로지라는 도박꾼이 운전하는 비행기를 타고 북극으로 가서 우텔이라는 에스키모의 도움을 받아 연구를 시작합니다. 타일러 박사는 늑대의 삶을 관찰하지만 늑대가 모든 순록을 먹었다는 증거를 찾지 못합니다. 대신 그는 늑대가 쥐를 먹는 것을 보고, 음식이 떨어지자 자신도 쥐를 먹어서 살아남습니다. 그런 다음 타일러 박사는 우텍과 그의 입양아 마이크를 만나 에스키모에게 전해진 늑대와 순록의 전설을 듣게 됩니다. 처음에는 북극에 순록이 많았고 에스키모의 생존에 도움이 되었지만 건강한 순록만 사냥했기 때문에 남은 순록은 점차 약해졌습니다. 그래서 에스키모 여신은 약하고 병든 순록을 없애기 위해 늑대를 보냈습니다. 가을이 다가오고 사냥 시즌이 본격화되자 타일러 박사는 문드리 지역으로 가서 늑대가 순록을 사냥하는 것을 봅니다. 그곳에서 타일러 박사는 전설에서처럼 늑대는 중병에 걸린 순록만 사냥한다는 것을 확인합니다...",12세이상관람가
"우주 정거장 '데스 스타'를 완성하고 은하계의 작은 나라들을 점령하고자 하는 타킨. 그는 군주제에 저항하고 제국을 건설하며 은하계의 평화를 위협한다. 이를 아는 반군은 레이아 공주를 보내 '데스 스타' 설계도를 얻으려 하지만 공주는 타킨에게 사로잡힌다. 대신 공주는 로봇을 보내 제다이 기사 케노비에게 도움을 요청한다. '데스 스타' 설계도를 가진 로봇은 성공적으로 탈출하고 루크에게 발견되어 결국 케노비에게 주어진다. 케노비는 루크에게 제다이는 평화를 지키는 기사이며 루크는 제다이의 후손이라고 가르친다. 그리고 그는 소년 루크를 설득해 공주가 부탁한 임무를 수행하게 한다. 그 과정에서 그는 팔콘호의 선장인 솔로를 만나 그와 함께 목숨을 건 모험을 시작한다. 여행 중에 팔콘호는 '데스 스타'의 자력으로 인해 그곳에 끌려간다. 그리고 공주가 '데스 스타'에 잡혔다는 것을 확인한 후, 루크와 솔로는 공주를 구출하고 탈출합니다. 케노비는 악당 다스 베이더와의 결투에서 죽지만, 그의 영혼은 루크와 함께 남아 그를 길을 인도합니다...",12세이상관람가
"그날부터 국내외에서 분주히 발표되고, 도쿄국제영화제 금상, 하와이영화제 금상, 그리스 테살로니키영화제 그랑프리를 수상한 아름다운 작품은 아무도 모르는 그리움의 수채화가 되었다.성민의 아버지는 미군에 고용되어 집안은 넉넉하지만, 창희의 가족은 성민의 집에서 떼를 지어 산다.절친한 친구인 성민과 창희는 동네 아이들과 함께 미군과 지역 소녀들이 정사를 벌이는 방앗간을 염탐하다 발각된다.마을 사람들은 미군과 경제적으로 인연을 맺고 산다.그러던 어느 날 창희는 어머니와 미군이 정사를 벌이는 것을 염탐한다.방앗간에 갑자기 화재가 발생하고, 창희가 실종된 그해 여름 썩은 시체가 떠오른다.아이들은 언덕에 작은 둔덕을 만든다. 이 작품은 한국전쟁이나 한국전쟁이라는 격동의 역사를 직접 다루기보다는 아버지가 살았던 아름다운 시절을 회상하고 성찰하는 듯한 작품이다. [씨네21 188호 신작 영상]",12세이상관람가
