story,grade
"아기 공룡 둘리는 1억 년 전 거대한 빙산에 갇히고 엄마와 헤어진 채 깊은 잠에 빠졌다. 어느 날 빙산이 한강으로 흘러들고, 깊은 잠에서 점차 깨어난 둘리는 우연히 쌍문동에 사는 평민 고길동의 집에 머물게 된다. 호기심이 많고 말썽꾸러기인 둘리 때문에 고길동의 집은 그날 이후로 단 하루도 평화로운 날이 없었다. '무서운 젖꼭지' 희동, 외계인 도우너, 귀족 여인 타조 토치, 가수 지망생 마이클이 합류해 미래로 여행을 떠나 타임 코스모스에서 재빨리 어른이 된다. 하지만 타임 코스모스의 고장으로 우주의 미궁에 있는 얼음 별로 향하게 되고, 둘리는 꿈에 그리던 엄마를 만난다. 하지만 아이스 스타는 사악한 악당 바요 킹에게 조종당하고, 둘리와 친구들은 바요 킹에게 쫓기기 시작합니다.",전체 관람가
"7월 2일, 미국 전역의 텔레비전 화면은 하늘에 있는 거대한 우주선이 방출하는 전파로 인해 왜곡됩니다. 정부 기관이 신원 불명의 우주선과 통신을 시도하는 동안 뉴욕 케이블 TV 직원인 데이비드는 우주선이 방출하는 전파가 카운트다운이라는 것을 깨닫습니다. 데이비드는 대통령 보좌관으로 일하는 전처 콘스턴스와 아버지 줄리어스에게 알리기 위해 워싱턴으로 달려갑니다. 동시에 전투기 조종사 힐러 대위는 우주선을 보고 기지로 돌아갑니다. 7월 3일, 우주선은 백악관을 폭파하는 공격을 시작합니다. 대통령, 그의 보좌관, 데이비드, 줄리어스는 간신히 제트기로 탈출하여 뉴멕시코주 로즈웰로 향합니다. 이 기지는 1950년대부터 비밀리에 외계 우주선을 연구해 왔습니다. 대통령의 명령에 따라 핵미사일 공격이 시작되지만 방패 때문에 효과가 없습니다. 그러나 데이비드는 컴퓨터 바이러스를 사용하여 외계 우주선의 방패를 비활성화하는 방법을 찾아냅니다.",전체 관람가
"우주에 있는 놀이공원의 관장인 스웨거해머는 버그스, 데니, 그리고 다른 루니 툰 캐릭터들을 지구에서 납치할 계획을 세웁니다. 마이클 조던이 농구에서 은퇴하면서 스포츠계는 흔들립니다. 야구를 시작한 조던은 계속 삼진을 잡습니다. 루니 툰 캐릭터들은 급여 없이 평생 놀이공원에서 일하기 위한 계약서에 서명해야 합니다. 다행히도 버그스는 농구 경기가 자신을 방어할 수 있는 유일한 방법이라고 제안합니다. 루니 툰에는 마이클 조던이 필요하고, 만화 세계에 끌려간 조던은 루니 툰의 곤경을 돕기로 결심합니다.",전체 관람가
"장난감 회사의 마케팅 매니저인 스콧은 얼마 전 아내와 이혼하고 혼자 살고 있다. 그는 전처 로라와의 사이에서 태어난 외아들 찰리를 두고 있다. 별거 중인 부모 사이를 오가는 찰리는 산타에 대한 믿음을 포기하지 않는다. 어느 크리스마스 이브, 스콧은 집에서 찰리와 외로운 크리스마스 이브를 보낸다. 그는 아들을 위해 요리를 하려 하지만 실패하고, 찰리는 우울해져 잠자리에 든다. 그때 산타클로스가 나타나 찰리에게 선물을 주려 하지만 지붕에서 떨어져 죽는다. 찰리는 아버지에게 산타복을 입히고, 산타 역할을 잘하는 스콧은 지붕 위에서 순록이 끄는 썰매를 타고 썰매가 이끄는 대로 북극에 도착한다. 그곳에서 엘프의 리더인 버나드는 스콧에게 산타복을 입는 순간 산타의 의무와 책임을 져야 한다는 조항을 알려준다.",전체 관람가
"1962년, 메인주의 록포트라는 작은 어촌 마을. 아기 물개 앙드레는 어미가 어망에 걸려 죽자 고아가 됩니다. 어느 날, 두려움과 배고픔에 지쳐 바다를 헤매던 앙드레는 록포트의 친절한 부두 관리자 해리 휘트니에게 발견됩니다. 동물을 사랑하는 휘트니 가족, 해리, 그의 아내 샐리, 큰딸 폴라, 아들 스티브, 그리고 앙드레의 영원한 친구가 되는 일곱 살의 여주인공 토니는 앙드레를 잘 돌보아 건강을 되찾고 떼어놓을 수 없는 가족이 됩니다. 토니와 아버지가 한 가지를 가르쳐 주면 열 가지를 배울 수 있는 앙드레의 놀라운 재능은 전국 언론의 주목을 받고, 지도에도 없었던 작은 어촌 마을 록포트는 유명해지고 관광객으로 붐빕니다. 토니 가족과 앙드레 사이의 사랑이 깊어지면서, 해리에게 불만과 질투심을 느낀 어부 빌리는 물개 때문에 어획량이 감소하고 그물이 파손된다는 결론을 내리고, 해리를 불법 애완동물 번식 혐의로 해양 동물 보호 기관에 신고한다...",전체 관람가
"1940년대, 미국은 푸에르토리코를 보호령으로 삼았다. 그리고 미국에 들어온 푸에르토리코 빈민들은 뉴욕에 두 번째 할렘을 만들었다. 백인과 푸에르토리코인이 인접한 뉴욕의 웨스트사이드에서 이탈리아 제트와 푸에르토리코 샤크가 영토를 두고 싸우고 있다. 어느 날, 제트의 리더인 리프는 샤크에게 도전하기 위해 댄스 파티에 가서 토니에게 함께 가자고 한다. 싸움에는 관심이 없는 토니는 리프의 부탁으로 파티에 가서 아름다운 마리아에게 첫눈에 반한다. 하지만 그녀는 샤크의 리더인 베르나르도의 여동생이다. 그날 밤, 토니와 마리아는 마리아의 집 발코니에서 서로에 대한 사랑을 확인한다. 토니는 마리아에게 자신의 관계를 인정하게 하려고 노력하면서 두 집단을 화해시키려 하지만 두 진영의 갈등은 심화된다. 다음 날, 샤크와 제트는 고속도로 밑에서 싸우고 토니는 마리아의 부탁으로 싸움을 멈추러 간다. 하지만 베르나르도와의 결투에서 리프가 죽자 토니는 격노하여 베르나르도를 죽인다. 마리아는 토니가 동생을 죽인 사람이라는 것을 알게 된다. 하지만 두 사람의 사랑은 변하지 않는다. 하지만 샤크들은 토니를 죽이려 한다...",전체 관람가
"역사상 가장 우아한 걸작 <벤허>의 귀환, 복수와 용서, 구원에 대한 화려한 고전! 서기 26년, 로마 제국 시절, 유다 벤허(찰튼 헤스턴)는 예루살렘에서 가장 뛰어난 유대인 귀족이다. 어느 날, 로마의 지배를 받던 이스라엘에 새로운 총독이 임명되고, 벤허의 오랜 친구 메살라(스티븐 보이드)가 그를 보좌하는 수비대 사령관으로 임명된다. 하지만 어린 시절과는 달리 두 사람의 우정은 로마와 이스라엘의 적대적인 상황으로 인해 금이 가고, 새로운 총독 임명을 축하하는 퍼레이드 중에 벤허의 여동생 티자(캐시 오도넬)가 실수로 총독을 다치게 한다. 메살라는 계획된 범죄의 범인으로 유다를 비난하며 벤허의 가족을 체포하고, 벤허는 모든 것을 잃고 노예로 팔려간다...",전체 관람가
"부두에 있는 초라한 여관에서 일하는 고아 소년 짐은 바다를 그리워하며 꿈과 모험이 기다리는 바다로 나가고 싶어합니다. 안개가 자욱한 어느 밤, 한 시각 장애인이 짐의 선술집에 머물고 있던 빌리를 찾아와 큰 검은 점이 찍힌 종이 한 장을 건네줍니다. 선원에게 검은 점은 사형을 의미하고, 빌리가 플린 선장의 보물 지도를 가지고 있다는 사실을 알게 된 해적들은 전쟁을 선포합니다. 빌리는 죽기 직전 짐에게 보물 지도를 주고, 짐은 해적들이 모여 소란을 피우는 사이에 리조와 간조와 함께 탈출합니다. 짐과 친구들은 빌리가 가르쳐준 대로 트렐로니를 만나 보물을 찾기 위해 히스파니올라에 탑승합니다. 히스파니올라에는 이상한 선원들이 가득합니다. 철저한 부사령관 애로우 씨, 개구리 선장 스몰리, 랍스터를 애완동물로 키우는 다리가 하나인 요리사 롱 존 실버. 그중에서도 항해에 많은 경험이 있는 선원인 롱 존 실버는 짐에게 매우 친절했고, 밤하늘에서 북극성을 찾는 법을 가르쳐 주었습니다. 짐이 새로운 친구들과 즐거운 시간을 보내는 동안, 리조와 간조는 실버의 랍스터 폴리 무리에게 납치되어 끔찍한 고문을 당했습니다. 그들은 보물 지도를 원했습니다. 리조가 보물 지도가 숨겨진 곳을 알려달라고 고문을 당하려던 바로 그때, 다행히 애로우 씨가 나타나 두 사람을 구하고 무리를 체포했습니다. 상황이 심각해지자 짐은 지도를 스몰리 선장에게 주었고, 선장은 그것을 금고에 넣었습니다. 짐을 끈질기게 달래어 지도가 선장실 금고에 있다는 것을 알아낸 실버는 애로우 씨에게 배가 현재 매우 위험한 지역을 항해하고 있으며, 배의 안전을 위해 미리 주변을 둘러보는 것이 좋을 것이라고 말했습니다. 구식 애로우 씨는 실버의 계략에 속아 배 열쇠 꾸러미를 포함한 귀중품을 그에게 맡기고 구명보트를 타고 항로를 조사했습니다. 다음날 아침, 애로우 씨가 죽었다는 거짓 소문을 퍼뜨린 뒤 배 위에서 추모식이 거행되는 동안, 열쇠를 손에 넣은 폴리와 그의 부하들은 비밀리에 보물 지도를 훔쳐 실버에게 건넨다...",전체 관람가
친구를 사귀지 못하고 학교에 적응하지 못하는 소년 짐 스타크는 술을 마시다 적발되어 경찰서로 끌려간다. 경찰서에서 짐은 밤에 거리를 배회하다 적발된 주디와 개를 총으로 쏴 죽인 소년 플라토를 만난다. 청소년을 대상으로 일하는 경찰관 레이는 짐이 부모에 대한 원망으로 고통받고 있다는 것을 알고 문제가 있으면 찾아오라고 말한다. 며칠 후 짐은 새로운 학교에 가서 주디와 버즈를 만난다. 갱단을 이끄는 버즈는 짐이 힘든 도전자라고 생각하고 그에게 경주를 신청한다.,전체 관람가
"허영심이 강한 배달부 맥스는 항상 자신의 마음이 옳은 일을 한다고 믿지만, 몸은 따라주지 않는다. 어느 날, 호화 저택에 우편물을 배달하던 중 우연히 살인을 목격하고, 살인을 저지르지 않았음에도 살인범으로 쫓기게 된다. 레인저 스카웃 대장에게서 차를 훔쳐 달아나는 사실을 모른 채, 레인저 대장 페이트는 여섯 명의 젊은 스카웃을 그에게 맡기고 맥스를 대장으로 임명한다. 숨을 완벽한 기회라고 생각한 맥스는 부하들과 함께 신비한 우편 주소를 찾아 나선다.",전체 관람가
